                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.82899,                 1.1777,                0.87863,                0.95985,                0.89218,                0.95458,                0.78405,                 0.5937,                  0.566,                0.80236,              0.0033191,              0.0033191,              0.0033191
                      2,                0.75106,                0.57179,                0.83749,                0.96712,                0.91497,                0.96983,                0.79373,                0.56007,                0.44112,                0.80171,              0.0066492,              0.0066492,              0.0066492
                      3,                0.73096,                0.48447,                0.83528,                0.96787,                0.92544,                0.97662,                0.80523,                0.57993,                 0.4462,                 0.8021,              0.0099759,              0.0099759,              0.0099759
                      4,                0.66721,                0.41824,                0.82555,                0.97458,                0.94341,                0.98259,                0.84408,                 0.4917,                0.31944,                0.78727,              0.0099851,              0.0099851,              0.0099851
                      5,                0.60968,                0.37495,                0.81556,                0.97348,                0.94324,                0.98314,                0.85424,                0.46087,                0.30381,                0.78704,              0.0099851,              0.0099851,              0.0099851
                      6,                 0.5786,                0.35123,                 0.8112,                0.98044,                0.94345,                0.98671,                0.86122,                0.44871,                0.28732,                0.78491,              0.0099802,              0.0099802,              0.0099802
                      7,                0.55714,                 0.3376,                0.80702,                0.98016,                0.95484,                0.98846,                0.87376,                0.43271,                0.27111,                0.78179,              0.0099753,              0.0099753,              0.0099753
                      8,                0.54372,                0.32879,                0.80588,                0.97778,                0.95068,                0.98768,                 0.8721,                 0.4263,                0.27649,                0.78144,              0.0099703,              0.0099703,              0.0099703
                      9,                  0.529,                0.31837,                0.80393,                0.98171,                0.95393,                 0.9888,                0.87606,                 0.4218,                0.25846,                0.78151,              0.0099654,              0.0099654,              0.0099654
                     10,                0.51965,                0.31051,                0.80215,                0.98237,                0.95621,                 0.9896,                0.88255,                0.40785,                0.24567,                 0.7795,              0.0099604,              0.0099604,              0.0099604
                     11,                0.51171,                0.30501,                0.80114,                0.97835,                0.95828,                0.98974,                0.88701,                0.39998,                0.25234,                0.77752,              0.0099555,              0.0099555,              0.0099555
                     12,                0.50617,                 0.3015,                0.80056,                0.98473,                0.95706,                0.99047,                0.89202,                0.39506,                0.23998,                0.77828,              0.0099505,              0.0099505,              0.0099505
                     13,                0.49826,                0.29651,                 0.7993,                0.98592,                0.95796,                0.99098,                0.89769,                0.38436,                 0.2305,                0.77563,              0.0099456,              0.0099456,              0.0099456
                     14,                0.49236,                0.29226,                0.79851,                0.98342,                0.96316,                0.99139,                0.89693,                0.38422,                0.22917,                0.77568,              0.0099406,              0.0099406,              0.0099406
                     15,                0.48898,                0.29019,                0.79809,                0.98159,                0.95976,                0.99023,                0.89946,                0.37309,                0.22942,                0.77428,              0.0099357,              0.0099357,              0.0099357
                     16,                0.48359,                0.28555,                0.79746,                0.98126,                0.96208,                0.99094,                  0.899,                0.37301,                0.23056,                0.77476,              0.0099307,              0.0099307,              0.0099307
                     17,                0.48132,                0.28487,                 0.7972,                0.98651,                0.96397,                0.99175,                0.90623,                0.36499,                0.21713,                0.77344,              0.0099258,              0.0099258,              0.0099258
                     18,                0.47597,                0.28184,                0.79676,                0.98487,                0.96669,                0.99193,                0.90361,                0.36745,                0.21522,                 0.7735,              0.0099208,              0.0099208,              0.0099208
                     19,                0.47414,                0.28038,                0.79642,                 0.9846,                0.96511,                0.99186,                0.90676,                0.36199,                0.21137,                0.77334,              0.0099159,              0.0099159,              0.0099159
                     20,                 0.4721,                0.27844,                0.79624,                0.98255,                0.96728,                0.99197,                0.91053,                0.35332,                0.20692,                0.77226,              0.0099109,              0.0099109,              0.0099109
                     21,                0.46863,                0.27646,                 0.7956,                0.98777,                0.96742,                0.99232,                0.91125,                0.35555,                0.20638,                0.77261,               0.009906,               0.009906,               0.009906
                     22,                0.46627,                0.27396,                0.79546,                0.98518,                0.96462,                0.99198,                0.90557,                0.35749,                0.21239,                0.77366,               0.009901,               0.009901,               0.009901
                     23,                0.46407,                0.27405,                0.79569,                0.98476,                0.96773,                0.99238,                0.91298,                 0.3493,                0.20323,                0.77256,              0.0098961,              0.0098961,              0.0098961
                     24,                0.46347,                0.27232,                 0.7947,                0.98544,                0.96531,                 0.9923,                0.91058,                0.34913,                0.20551,                 0.7714,              0.0098911,              0.0098911,              0.0098911
                     25,                0.46102,                0.27027,                 0.7946,                0.99003,                0.96732,                0.99288,                0.91583,                 0.3437,                0.19783,                0.77151,              0.0098861,              0.0098861,              0.0098861
                     26,                0.45766,                0.26854,                0.79443,                0.98535,                0.96902,                 0.9926,                0.91389,                 0.3421,                0.19848,                0.77152,              0.0098812,              0.0098812,              0.0098812
                     27,                 0.4571,                0.26791,                0.79431,                0.98628,                0.96973,                 0.9928,                0.91515,                0.33912,                0.19655,                0.77069,              0.0098763,              0.0098763,              0.0098763
                     28,                0.45496,                0.26761,                0.79396,                0.98919,                0.96671,                0.99272,                0.91457,                0.33991,                0.19462,                0.77071,              0.0098713,              0.0098713,              0.0098713
                     29,                0.45435,                0.26565,                0.79386,                0.98681,                0.96724,                 0.9923,                0.91348,                0.34083,                0.19829,                0.77059,              0.0098664,              0.0098664,              0.0098664
                     30,                0.45227,                0.26495,                0.79371,                0.98625,                0.96903,                 0.9927,                0.91727,                  0.336,                0.19245,                0.77016,              0.0098614,              0.0098614,              0.0098614
                     31,                0.45144,                0.26538,                0.79316,                0.98949,                0.96712,                0.99284,                0.91585,                0.33815,                 0.1935,                0.77059,              0.0098565,              0.0098565,              0.0098565
                     32,                0.45008,                0.26382,                0.79305,                0.98572,                0.96748,                0.99267,                0.91704,                0.33074,                 0.1924,                   0.77,              0.0098515,              0.0098515,              0.0098515
                     33,                 0.4486,                0.26195,                  0.793,                0.98728,                0.96861,                 0.9929,                0.91765,                0.33201,                0.19028,                0.76984,              0.0098466,              0.0098466,              0.0098466
                     34,                 0.4475,                0.26202,                0.79262,                0.98864,                0.97017,                0.99296,                0.91942,                0.32805,                0.18784,                0.76974,              0.0098416,              0.0098416,              0.0098416
                     35,                0.44683,                0.26094,                0.79261,                0.98679,                0.96895,                0.99294,                0.91829,                0.32962,                0.18928,                 0.7694,              0.0098367,              0.0098367,              0.0098367
                     36,                0.44455,                0.26015,                0.79245,                0.98581,                0.96935,                0.99299,                 0.9178,                0.32989,                0.18874,                0.76959,              0.0098317,              0.0098317,              0.0098317
                     37,                0.44534,                0.26042,                0.79252,                0.98727,                0.96848,                0.99288,                0.91858,                0.32935,                0.18817,                0.76945,              0.0098268,              0.0098268,              0.0098268
                     38,                 0.4442,                0.25909,                0.79228,                0.98702,                 0.9696,                0.99306,                0.92033,                 0.3241,                0.18579,                0.76906,              0.0098218,              0.0098218,              0.0098218
                     39,                0.44251,                0.25848,                0.79259,                0.98768,                0.96974,                0.99316,                   0.92,                0.32338,                0.18446,                0.76887,              0.0098169,              0.0098169,              0.0098169
                     40,                0.44234,                0.25879,                0.79261,                0.98821,                  0.969,                0.99311,                0.92208,                0.32356,                0.18412,                 0.7689,              0.0098119,              0.0098119,              0.0098119
                     41,                0.44053,                0.25736,                0.79178,                0.98854,                 0.9696,                0.99314,                0.92173,                0.32243,                0.18404,                0.76903,               0.009807,               0.009807,               0.009807
                     42,                0.43983,                0.25654,                0.79178,                0.98812,                0.96849,                0.99309,                0.92192,                0.32114,                0.18326,                0.76864,               0.009802,               0.009802,               0.009802
                     43,                0.43982,                0.25633,                0.79154,                 0.9863,                 0.9702,                0.99318,                0.92208,                0.32086,                0.18236,                0.76882,               0.009797,               0.009797,               0.009797
                     44,                0.43915,                  0.256,                0.79206,                0.98598,                0.97087,                0.99317,                0.92257,                0.32029,                0.18164,                0.76867,              0.0097921,              0.0097921,              0.0097921
                     45,                0.43812,                0.25521,                0.79235,                0.98776,                0.96994,                0.99323,                 0.9229,                0.31762,                0.18011,                0.76838,              0.0097871,              0.0097871,              0.0097871
                     46,                  0.437,                0.25528,                0.79185,                0.98841,                0.96923,                0.99315,                0.92269,                0.31768,                0.18031,                0.76817,              0.0097822,              0.0097822,              0.0097822
                     47,                0.43579,                0.25372,                0.79158,                0.98855,                0.96962,                0.99327,                0.92293,                0.31659,                0.17946,                0.76814,              0.0097773,              0.0097773,              0.0097773
                     48,                0.43629,                0.25448,                0.79141,                0.98793,                0.97048,                0.99332,                0.92326,                0.31608,                0.17862,                0.76816,              0.0097723,              0.0097723,              0.0097723
                     49,                0.43539,                0.25366,                0.79164,                0.98814,                0.96999,                0.99333,                0.92309,                0.31591,                0.17935,                0.76808,              0.0097674,              0.0097674,              0.0097674
                     50,                0.43464,                0.25343,                0.79143,                 0.9886,                0.96975,                0.99333,                0.92363,                0.31507,                0.17883,                0.76794,              0.0097624,              0.0097624,              0.0097624
                     51,                0.43356,                0.25205,                0.79127,                0.98698,                 0.9711,                0.99335,                0.92412,                0.31396,                0.17752,                0.76781,              0.0097575,              0.0097575,              0.0097575
                     52,                0.43353,                0.25107,                0.79153,                0.98764,                0.97002,                0.99334,                0.92409,                0.31368,                0.17719,                0.76784,              0.0097525,              0.0097525,              0.0097525
                     53,                0.43357,                0.25203,                0.79107,                0.98731,                0.97086,                0.99329,                0.92392,                0.31366,                0.17768,                0.76775,              0.0097476,              0.0097476,              0.0097476
                     54,                0.43239,                0.25141,                0.79089,                 0.9884,                0.97044,                 0.9933,                0.92449,                0.31263,                0.17668,                0.76772,              0.0097426,              0.0097426,              0.0097426
                     55,                 0.4331,                0.25185,                0.79115,                0.98797,                0.97056,                 0.9933,                0.92449,                0.31188,                0.17636,                0.76774,              0.0097377,              0.0097377,              0.0097377
                     56,                 0.4306,                0.25021,                0.79106,                0.98822,                   0.97,                0.99326,                0.92437,                0.31172,                0.17619,                0.76763,              0.0097327,              0.0097327,              0.0097327
                     57,                0.43144,                0.25072,                0.79122,                 0.9897,                0.96886,                0.99328,                0.92472,                0.31129,                 0.1758,                0.76751,              0.0097278,              0.0097278,              0.0097278
                     58,                0.42946,                0.25007,                0.79068,                0.98929,                0.96965,                0.99333,                0.92501,                0.31071,                0.17529,                0.76748,              0.0097228,              0.0097228,              0.0097228
                     59,                0.43054,                0.25001,                0.79088,                0.98793,                0.97068,                0.99334,                0.92523,                0.31019,                0.17521,                0.76738,              0.0097179,              0.0097179,              0.0097179
                     60,                0.42858,                0.24928,                0.79074,                0.98755,                 0.9711,                0.99336,                0.92539,                0.30964,                0.17495,                 0.7674,              0.0097129,              0.0097129,              0.0097129
                     61,                0.42821,                  0.249,                0.79093,                0.98736,                0.97141,                0.99334,                0.92508,                0.30936,                0.17484,                0.76735,               0.009708,               0.009708,               0.009708
                     62,                0.42834,                 0.2485,                0.79091,                0.98732,                0.97145,                 0.9934,                0.92521,                0.30911,                0.17463,                0.76736,               0.009703,               0.009703,               0.009703
                     63,                0.42835,                0.24814,                0.79047,                0.98911,                0.97068,                0.99343,                0.92566,                0.30869,                0.17397,                0.76738,               0.009698,               0.009698,               0.009698
                     64,                 0.4278,                0.24923,                0.79084,                0.98895,                0.97102,                0.99343,                0.92594,                0.30818,                0.17371,                0.76734,              0.0096931,              0.0096931,              0.0096931
                     65,                0.42817,                 0.2487,                0.79024,                0.98928,                 0.9709,                0.99344,                0.92606,                0.30802,                0.17361,                0.76733,              0.0096881,              0.0096881,              0.0096881
                     66,                0.42641,                0.24806,                 0.7902,                0.98961,                0.97062,                0.99343,                0.92596,                0.30789,                0.17347,                0.76733,              0.0096832,              0.0096832,              0.0096832
                     67,                0.42627,                 0.2474,                0.79061,                0.98953,                0.97077,                0.99341,                0.92594,                0.30754,                0.17326,                0.76728,              0.0096783,              0.0096783,              0.0096783
                     68,                0.42613,                0.24818,                0.79075,                 0.9897,                0.97081,                0.99339,                0.92609,                0.30739,                0.17286,                0.76728,              0.0096733,              0.0096733,              0.0096733
                     69,                0.42533,                0.24728,                0.79007,                0.98952,                0.97106,                0.99344,                0.92636,                0.30702,                0.17248,                0.76723,              0.0096684,              0.0096684,              0.0096684
                     70,                0.42574,                0.24711,                0.79018,                 0.9894,                0.97102,                0.99344,                0.92621,                0.30687,                 0.1723,                0.76721,              0.0096634,              0.0096634,              0.0096634
                     71,                0.42485,                 0.2468,                0.79014,                0.98945,                0.97118,                0.99344,                0.92625,                 0.3067,                0.17231,                0.76719,              0.0096585,              0.0096585,              0.0096585
                     72,                0.42499,                0.24667,                0.79052,                0.98957,                0.97102,                0.99346,                0.92679,                0.30656,                0.17198,                0.76721,              0.0096535,              0.0096535,              0.0096535
                     73,                0.42361,                0.24592,                0.78974,                0.98987,                0.97106,                0.99343,                0.92681,                0.30659,                0.17198,                0.76717,              0.0096486,              0.0096486,              0.0096486
                     74,                0.42454,                0.24708,                 0.7902,                 0.9901,                0.97081,                0.99343,                0.92697,                0.30618,                0.17187,                0.76713,              0.0096436,              0.0096436,              0.0096436
                     75,                0.42295,                0.24547,                0.79047,                0.99012,                0.97078,                0.99345,                0.92717,                0.30584,                0.17182,                0.76711,              0.0096387,              0.0096387,              0.0096387
                     76,                0.42383,                0.24541,                0.78998,                0.98974,                0.97099,                0.99347,                0.92713,                0.30567,                0.17179,                0.76709,              0.0096337,              0.0096337,              0.0096337
                     77,                0.42145,                0.24495,                0.78984,                0.98994,                0.97073,                0.99345,                0.92709,                0.30551,                0.17159,                0.76707,              0.0096288,              0.0096288,              0.0096288
                     78,                0.42212,                0.24448,                0.78974,                0.98999,                0.97069,                0.99346,                0.92719,                0.30531,                0.17155,                0.76705,              0.0096238,              0.0096238,              0.0096238
                     79,                0.42325,                0.24531,                0.79013,                0.99003,                0.97061,                0.99345,                 0.9273,                0.30514,                0.17142,                0.76705,              0.0096188,              0.0096188,              0.0096188
                     80,                0.42179,                0.24504,                0.78992,                0.99018,                0.97064,                0.99345,                0.92737,                0.30504,                0.17145,                  0.767,              0.0096139,              0.0096139,              0.0096139
                     81,                 0.4221,                 0.2445,                0.79018,                0.99016,                0.97054,                0.99345,                0.92727,                0.30483,                0.17148,                0.76697,               0.009609,               0.009609,               0.009609
                     82,                0.42293,                0.24575,                0.78989,                 0.9902,                0.97068,                0.99345,                 0.9274,                0.30463,                0.17144,                0.76696,               0.009604,               0.009604,               0.009604
                     83,                0.42197,                0.24453,                0.78993,                0.99018,                0.97048,                0.99346,                0.92741,                0.30458,                0.17112,                0.76694,               0.009599,               0.009599,               0.009599
