                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.74959,                 1.5195,                 0.9527,                 0.9976,                0.73666,                0.94024,                0.84733,                0.48529,                 1.6321,                  0.811,              0.0032911,              0.0032911,              0.0032911
                      2,                0.65207,                0.58261,                0.86716,                 0.9838,                0.95947,                0.98333,                0.86746,                0.48065,                0.57556,                0.81551,              0.0066179,              0.0066179,              0.0066179
                      3,                0.65864,                0.51582,                0.87036,                0.97439,                0.96164,                0.98594,                0.85623,                0.48206,                0.48391,                0.81345,              0.0099381,              0.0099381,              0.0099381
                      4,                 0.6116,                0.44592,                0.86275,                0.98876,                0.97119,                0.99141,                0.88631,                 0.4546,                0.37125,                0.80578,              0.0099703,              0.0099703,              0.0099703
                      5,                0.55815,                0.38821,                0.84965,                0.98975,                0.97409,                0.99151,                 0.9097,                0.40529,                0.32964,                 0.8022,              0.0099703,              0.0099703,              0.0099703
                      6,                0.52769,                0.35659,                0.84352,                0.99093,                0.96639,                0.99112,                0.91425,                0.39272,                0.30422,                0.79774,              0.0099604,              0.0099604,              0.0099604
                      7,                0.50612,                0.33769,                0.83789,                0.98573,                0.95792,                0.98728,                0.91404,                0.37529,                0.30017,                0.79338,              0.0099505,              0.0099505,              0.0099505
                      8,                0.49077,                0.32195,                0.83429,                0.99228,                0.97738,                0.99307,                0.93293,                0.35587,                0.25126,                0.78796,              0.0099406,              0.0099406,              0.0099406
                      9,                0.47761,                0.31132,                0.83234,                0.99498,                0.97723,                 0.9935,                0.93485,                 0.3461,                0.24785,                0.78782,              0.0099307,              0.0099307,              0.0099307
                     10,                 0.4684,                0.30243,                0.82851,                0.98556,                 0.9722,                0.99231,                0.93866,                0.33458,                0.24665,                0.78677,              0.0099208,              0.0099208,              0.0099208
                     11,                0.45967,                0.29609,                0.82815,                0.99395,                  0.976,                0.99331,                0.93773,                0.33517,                0.22466,                0.78516,              0.0099109,              0.0099109,              0.0099109
                     12,                0.45249,                0.29085,                0.82586,                0.99271,                0.98025,                0.99372,                0.93984,                0.33031,                0.24251,                0.78325,               0.009901,               0.009901,               0.009901
                     13,                0.44405,                0.28476,                0.82413,                0.99418,                0.97118,                0.99235,                0.93439,                0.35137,                 0.2396,                0.78813,              0.0098911,              0.0098911,              0.0098911
                     14,                0.43887,                0.27647,                0.82307,                0.99109,                0.97435,                0.99316,                 0.9294,                 0.3752,                0.24593,                0.79466,              0.0098812,              0.0098812,              0.0098812
                     15,                0.43553,                0.27535,                0.82201,                0.99398,                0.98015,                0.99412,                   0.95,                 0.3195,                0.21535,                0.78323,              0.0098713,              0.0098713,              0.0098713
                     16,                0.42834,                0.27285,                0.82005,                0.98744,                0.96613,                0.99147,                0.93501,                0.34327,                0.23892,                0.78685,              0.0098614,              0.0098614,              0.0098614
                     17,                0.42343,                0.26752,                0.81959,                0.99328,                 0.9794,                0.99427,                 0.9514,                0.30574,                0.20855,                0.77876,              0.0098515,              0.0098515,              0.0098515
                     18,                0.42069,                0.26346,                0.81853,                0.99619,                0.98357,                0.99465,                0.95481,                0.29838,                0.19651,                0.77845,              0.0098416,              0.0098416,              0.0098416
                     19,                0.41732,                0.26183,                0.81853,                0.99401,                0.98016,                0.99407,                0.95193,                0.31137,                0.20111,                0.78006,              0.0098317,              0.0098317,              0.0098317
                     20,                0.41127,                0.25795,                0.81615,                0.99586,                0.98054,                 0.9944,                0.95309,                0.30334,                0.19968,                0.77952,              0.0098218,              0.0098218,              0.0098218
                     21,                0.40961,                0.25943,                0.81597,                0.96696,                0.89182,                 0.9538,                0.88558,                0.39249,                0.36665,                0.79995,              0.0098119,              0.0098119,              0.0098119
                     22,                0.41394,                0.25594,                0.81664,                0.99456,                0.98003,                0.99438,                 0.9511,                0.30403,                0.19962,                 0.7794,               0.009802,               0.009802,               0.009802
                     23,                0.40609,                0.25573,                0.81604,                0.99616,                0.98041,                0.99454,                0.95799,                0.29235,                0.19622,                0.77723,              0.0097921,              0.0097921,              0.0097921
                     24,                 0.4037,                0.25179,                0.81593,                0.99497,                0.98382,                0.99461,                0.95984,                0.28537,                0.18377,                0.77664,              0.0097822,              0.0097822,              0.0097822
                     25,                0.39825,                0.24949,                0.81452,                0.99616,                0.98438,                0.99467,                0.96121,                0.27899,                0.18339,                0.77515,              0.0097723,              0.0097723,              0.0097723
                     26,                0.40104,                0.24842,                0.81445,                 0.9948,                0.98231,                0.99465,                0.95712,                0.28566,                0.18286,                0.77686,              0.0097624,              0.0097624,              0.0097624
                     27,                0.39572,                0.24745,                0.81454,                0.99256,                0.98168,                0.99425,                0.95715,                0.28345,                  0.185,                0.77575,              0.0097525,              0.0097525,              0.0097525
                     28,                0.39322,                0.24836,                0.81368,                0.99731,                0.98227,                0.99458,                0.96172,                0.28964,                0.18295,                0.77793,              0.0097426,              0.0097426,              0.0097426
                     29,                0.39403,                0.24268,                0.81295,                0.99348,                0.98145,                 0.9944,                  0.961,                0.27928,                0.18117,                0.77464,              0.0097327,              0.0097327,              0.0097327
                     30,                0.38924,                0.24543,                0.81311,                0.99597,                 0.9837,                0.99466,                0.96238,                0.27887,                0.18279,                 0.7758,              0.0097228,              0.0097228,              0.0097228
                     31,                0.39016,                0.24073,                0.81209,                0.99603,                0.98285,                0.99458,                0.96428,                0.27372,                0.17575,                0.77395,              0.0097129,              0.0097129,              0.0097129
                     32,                0.38798,                0.24055,                0.81194,                0.99527,                0.98481,                0.99466,                0.95766,                0.27745,                0.18648,                0.77426,               0.009703,               0.009703,               0.009703
