                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.46774,                0.28779,                0.81835,                0.99352,                0.97012,                0.99207,                0.93243,                0.35187,                0.23344,                0.79774,              0.0096634,              0.0096634,              0.0096634
                     37,                0.46734,                0.28563,                0.81623,                 0.9915,                0.97441,                0.99245,                0.93233,                0.34549,                0.23027,                0.79599,              0.0096535,              0.0096535,              0.0096535
                     38,                0.46606,                 0.2809,                0.81767,                0.99216,                0.97353,                0.99225,                0.93604,                0.34137,                0.22086,                0.79544,              0.0096436,              0.0096436,              0.0096436
                     39,                0.46805,                0.28127,                 0.8166,                0.97246,                0.90826,                0.96084,                0.87321,                0.45554,                0.36995,                0.81862,              0.0096337,              0.0096337,              0.0096337
                     40,                0.46752,                0.27971,                0.81678,                0.99183,                0.97327,                0.99218,                 0.9365,                0.34292,                 0.2199,                0.79625,              0.0096238,              0.0096238,              0.0096238
                     41,                0.46501,                0.27766,                0.81696,                0.99295,                0.97289,                 0.9928,                0.94036,                0.32803,                 0.2163,                0.79297,              0.0096139,              0.0096139,              0.0096139
                     42,                0.46037,                0.28266,                0.81648,                0.99306,                0.97418,                0.99266,                0.94241,                 0.3178,                0.21442,                0.79319,               0.009604,               0.009604,               0.009604
                     43,                0.45945,                0.27827,                0.81491,                0.99228,                0.97271,                0.99245,                0.93482,                0.33395,                0.22609,                0.79619,              0.0095941,              0.0095941,              0.0095941
                     44,                0.45868,                0.27753,                0.81418,                0.99096,                0.97252,                0.99243,                0.94052,                 0.3246,                0.21854,                0.79463,              0.0095842,              0.0095842,              0.0095842
                     45,                0.45997,                0.27929,                0.81569,                0.99357,                0.97349,                0.99273,                0.93652,                0.33611,                0.21551,                0.79449,              0.0095743,              0.0095743,              0.0095743
                     46,                0.45689,                 0.2741,                0.81536,                0.99395,                0.97319,                0.99223,                0.94056,                0.33317,                0.21466,                0.79373,              0.0095644,              0.0095644,              0.0095644
                     47,                0.45573,                0.27389,                0.81483,                0.99356,                0.97416,                0.99278,                0.93846,                0.33455,                0.21495,                0.79435,              0.0095545,              0.0095545,              0.0095545
                     48,                0.45356,                 0.2734,                 0.8151,                0.99227,                0.97352,                0.99216,                0.94002,                0.33099,                0.21418,                0.79266,              0.0095446,              0.0095446,              0.0095446
                     49,                0.45107,                0.27591,                0.81462,                0.99369,                0.97284,                 0.9926,                0.93642,                0.33776,                0.21636,                0.79552,              0.0095347,              0.0095347,              0.0095347
                     50,                0.44957,                0.27374,                0.81342,                0.99343,                0.97251,                0.99259,                 0.9337,                0.33683,                0.21864,                0.79557,              0.0095248,              0.0095248,              0.0095248
                     51,                0.44715,                0.26759,                0.81243,                 0.9944,                 0.9734,                0.99277,                0.94303,                0.32043,                0.21163,                0.79444,              0.0095149,              0.0095149,              0.0095149
                     52,                0.45525,                0.27137,                0.81443,                0.99485,                0.97151,                0.99266,                0.94428,                0.31732,                0.20888,                0.79082,               0.009505,               0.009505,               0.009505
                     53,                0.44994,                0.26784,                0.81368,                0.99547,                0.97365,                0.99283,                0.94534,                0.31509,                0.20702,                0.79122,              0.0094951,              0.0094951,              0.0094951
                     54,                0.44351,                0.26543,                0.81406,                0.99141,                0.97542,                0.99309,                0.94524,                0.31947,                0.20528,                0.79243,              0.0094852,              0.0094852,              0.0094852
                     55,                0.44715,                0.26641,                0.81375,                0.99453,                0.97289,                0.99247,                0.94193,                0.32637,                0.21166,                0.79518,              0.0094753,              0.0094753,              0.0094753
                     56,                0.44525,                0.26784,                0.81318,                0.99367,                0.97176,                0.99253,                0.93593,                0.34172,                0.21718,                0.79619,              0.0094654,              0.0094654,              0.0094654
                     57,                0.44485,                0.26762,                0.81307,                0.99345,                 0.9747,                0.99304,                 0.9424,                0.32647,                0.20796,                0.79483,              0.0094555,              0.0094555,              0.0094555
                     58,                0.44194,                0.26504,                0.81286,                0.99256,                0.97547,                0.99284,                0.94582,                0.31405,                0.20412,                0.79216,              0.0094456,              0.0094456,              0.0094456
                     59,                0.44215,                0.26407,                0.81167,                0.99245,                0.97715,                0.99304,                0.94984,                0.30311,                0.19913,                0.78836,              0.0094357,              0.0094357,              0.0094357
                     60,                0.44088,                0.26504,                0.81215,                0.99306,                 0.9745,                0.99204,                0.94228,                0.31933,                0.20767,                0.79144,              0.0094258,              0.0094258,              0.0094258
                     61,                0.43788,                0.26491,                0.81256,                0.99435,                0.97529,                  0.993,                 0.9447,                0.31792,                0.20211,                0.79296,              0.0094159,              0.0094159,              0.0094159
                     62,                0.44226,                 0.2655,                0.81237,                0.99394,                0.97529,                0.99323,                0.94002,                0.32403,                 0.2094,                0.79289,               0.009406,               0.009406,               0.009406
                     63,                 0.4394,                0.26167,                 0.8118,                 0.9917,                0.97567,                0.99326,                0.94675,                0.31161,                0.20276,                0.79283,              0.0093961,              0.0093961,              0.0093961
                     64,                  0.437,                0.26137,                0.81172,                0.99438,                0.97693,                0.99328,                0.95021,                0.30498,                0.19647,                 0.7909,              0.0093862,              0.0093862,              0.0093862
                     65,                 0.4372,                0.26153,                0.81302,                0.99409,                0.97466,                0.99235,                0.94892,                0.30432,                0.19855,                0.78935,              0.0093763,              0.0093763,              0.0093763
                     66,                0.43136,                0.25827,                0.81202,                0.99369,                 0.9763,                0.99338,                0.94389,                0.31471,                0.20026,                0.79246,              0.0093664,              0.0093664,              0.0093664
                     67,                 0.4343,                0.26179,                 0.8122,                0.99293,                0.97362,                0.99306,                0.94728,                 0.3035,                0.20075,                0.79083,              0.0093565,              0.0093565,              0.0093565
                     68,                0.43519,                0.25733,                0.81085,                0.99465,                0.97542,                 0.9928,                0.95142,                0.30505,                0.19404,                0.78915,              0.0093466,              0.0093466,              0.0093466
                     69,                0.43438,                0.26044,                 0.8106,                0.99422,                0.97466,                0.99329,                0.94685,                0.31128,                0.20238,                0.79349,              0.0093367,              0.0093367,              0.0093367
                     70,                 0.4315,                0.25467,                0.81079,                0.99537,                0.97496,                0.99346,                0.94659,                0.31049,                0.20024,                 0.7919,              0.0093268,              0.0093268,              0.0093268
                     71,                0.43156,                0.25862,                0.81148,                 0.9942,                0.97212,                 0.9928,                0.95047,                0.30573,                0.20026,                0.78954,              0.0093169,              0.0093169,              0.0093169
                     72,                0.43231,                 0.2547,                0.81035,                0.99498,                0.97537,                0.99317,                0.94289,                0.32006,                0.20116,                0.79329,               0.009307,               0.009307,               0.009307
                     73,                 0.4329,                0.25532,                0.81073,                0.99389,                0.97289,                0.99271,                0.94518,                0.31465,                0.20036,                0.79268,              0.0092971,              0.0092971,              0.0092971
                     74,                0.42811,                0.26005,                0.81138,                0.99461,                0.97642,                0.99323,                0.94977,                0.29955,                0.19386,                0.78804,              0.0092872,              0.0092872,              0.0092872
                     75,                0.42893,                 0.2552,                0.81125,                0.99131,                0.97542,                0.99299,                0.94435,                0.31394,                0.21049,                0.79473,              0.0092773,              0.0092773,              0.0092773
                     76,                0.42851,                0.25462,                0.80955,                0.99513,                0.97592,                0.99325,                0.94877,                0.30666,                0.19636,                0.79028,              0.0092674,              0.0092674,              0.0092674
                     77,                0.42506,                0.25374,                0.80904,                0.99499,                0.97624,                0.99339,                0.94889,                0.29726,                0.19359,                0.78918,              0.0092575,              0.0092575,              0.0092575
                     78,                0.43141,                0.25484,                 0.8107,                  0.995,                0.97592,                0.99327,                0.94778,                0.30253,                0.19198,                0.79072,              0.0092476,              0.0092476,              0.0092476
                     79,                0.42645,                0.25578,                0.81064,                0.99523,                0.97088,                0.99268,                0.95189,                0.29607,                0.19513,                0.78992,              0.0092377,              0.0092377,              0.0092377
                     80,                0.42711,                 0.2536,                0.80977,                0.99473,                0.97627,                 0.9933,                0.95128,                0.29421,                0.18838,                0.79022,              0.0092278,              0.0092278,              0.0092278
                     81,                0.42361,                0.25548,                 0.8104,                0.99232,                0.97793,                0.99303,                0.95044,                0.29843,                0.19236,                0.78966,              0.0092179,              0.0092179,              0.0092179
                     82,                0.42612,                0.25922,                0.80941,                0.99511,                0.97469,                0.99346,                0.94359,                0.32205,                0.20062,                0.79436,               0.009208,               0.009208,               0.009208
                     83,                0.42444,                0.25049,                0.80869,                0.99525,                 0.9764,                0.99323,                0.95081,                0.29726,                0.18926,                0.78847,              0.0091981,              0.0091981,              0.0091981
